maize_varieties_grown,maize_variety_improved_or_local,reason_growing_maize_variety_ml,other_reason_growing_maize_variety,PARENT_KEY,KEY
Moshoriya,Local,High_yielding Disease_resistance Drought_tolerance Good_price,,uuid:7a0ce6d5-fb74-4c23-8b12-4fae6da90e22,uuid:7a0ce6d5-fb74-4c23-8b12-4fae6da90e22/sclamp/Specify_Maize_Variety[1]
Gawuga,Local,High_yielding Disease_resistance Good_taste Good_price,,uuid:e4ccdd0f-73c6-4e03-b724-680fd441ae8b,uuid:e4ccdd0f-73c6-4e03-b724-680fd441ae8b/sclamp/Specify_Maize_Variety[1]
BH 540,Improved,High_yielding Disease_resistance Early_maturity Easy_preparation Seed_availability,,uuid:89e7996d-6093-494e-86ec-1662dfaac2e7,uuid:89e7996d-6093-494e-86ec-1662dfaac2e7/sclamp/Specify_Maize_Variety[1]
B-H 540,Improved,High_yielding Early_maturity Seed_availability Good_price,,uuid:4b3c6050-ea8b-4433-8055-2c1560f8f13b,uuid:4b3c6050-ea8b-4433-8055-2c1560f8f13b/sclamp/Specify_Maize_Variety[1]
B-H 540,Improved,High_yielding Early_maturity Good_price Easy_preparation,,uuid:51d83881-e07e-42b1-beac-feb9a59aa0b2,uuid:51d83881-e07e-42b1-beac-feb9a59aa0b2/sclamp/Specify_Maize_Variety[1]
BH-540,Improved,Seed_availability,,uuid:5763f7de-391a-4f68-aa74-360721cbc326,uuid:5763f7de-391a-4f68-aa74-360721cbc326/sclamp/Specify_Maize_Variety[1]
BH-540,Improved,High_yielding Seed_availability Early_maturity,,uuid:85a99616-47b2-4b01-86de-e47e86fd71c3,uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,Seed_availability High_yielding,,uuid:7ab2fcc0-ba17-4744-b22a-86d48fe20546,uuid:7ab2fcc0-ba17-4744-b22a-86d48fe20546/sclamp/Specify_Maize_Variety[1]
Local,Local,other,High price of improved seed,uuid:3b82a727-ceb2-4786-bcb3-a007ddaa9ad9,uuid:3b82a727-ceb2-4786-bcb3-a007ddaa9ad9/sclamp/Specify_Maize_Variety[1]
Local,Local,other,High price of improved seed,uuid:52b338f5-f18a-4284-a7e4-72219808d211,uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Specify_Maize_Variety[1]
BH-540,Improved,High_yielding Seed_availability Early_maturity,,uuid:8ba370b6-ab11-4901-bd42-c757449ee23b,uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Specify_Maize_Variety[1]
Local,Local,Easy_preparation,,uuid:d80a8f89-5944-4b0e-a3fa-87dda8553b6c,uuid:d80a8f89-5944-4b0e-a3fa-87dda8553b6c/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,High_yielding Early_maturity Good_taste,,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,Disease_resistance Early_maturity Easy_preparation,,uuid:304182c1-5f68-4a01-afd1-b7bfb101e3fa,uuid:304182c1-5f68-4a01-afd1-b7bfb101e3fa/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,High_yielding Early_maturity Good_taste Good_price High_market_demand,,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,Easy_preparation High_yielding,,uuid:5af1b817-8710-44dc-841f-8ab7d047f375,uuid:5af1b817-8710-44dc-841f-8ab7d047f375/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,High_market_demand Good_price Easy_preparation Good_taste other,Cattle forage ,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18/sclamp/Specify_Maize_Variety[1]
Gawuga,Local,High_yielding Easy_preparation Insect_pest_resistance Seed_availability,,uuid:a74d5975-0830-4e50-bc3d-5bd41cbdb223,uuid:a74d5975-0830-4e50-bc3d-5bd41cbdb223/sclamp/Specify_Maize_Variety[1]
Moshoriya,Local,Disease_resistance Good_price Seed_availability Drought_tolerance,,uuid:c2fc5a7d-3248-45b5-95b6-d34fcb582928,uuid:c2fc5a7d-3248-45b5-95b6-d34fcb582928/sclamp/Specify_Maize_Variety[1]
Moshoriyaa,Local,High_yielding Good_taste Insect_pest_resistance,,uuid:fc73dc43-4cdc-402c-b5fc-50b8887c1b5c,uuid:fc73dc43-4cdc-402c-b5fc-50b8887c1b5c/sclamp/Specify_Maize_Variety[1]
B-H 540,Improved,High_yielding High_market_demand Good_price,,uuid:efbd2d35-10fd-4ecc-8a49-227dd95779f2,uuid:efbd2d35-10fd-4ecc-8a49-227dd95779f2/sclamp/Specify_Maize_Variety[1]
B-h 540,Improved,High_yielding High_market_demand Good_price Good_taste Early_maturity,,uuid:620bce3c-dc82-420a-8e70-7adad474488a,uuid:620bce3c-dc82-420a-8e70-7adad474488a/sclamp/Specify_Maize_Variety[1]
Gawuga,Local,Disease_resistance Good_price Good_taste,,uuid:68ad7043-2786-45b2-9888-9c9e577ea10a,uuid:68ad7043-2786-45b2-9888-9c9e577ea10a/sclamp/Specify_Maize_Variety[1]
